id,nameFirst,nameLast,origin,likert.valuesFriendship,likert.valuesFamily,likert.valuesCommunity,likert.valuesSelf,likert.valuesFaith,likert.valuesEducation,likert.valuesHealth,likert.valuesStrength,semDiff.dogCat,semDiff.donutMunchkins,semDiff.cakePie,semDiff.steelersPirates
phurtz972,Porsche,Hurtz,IL,3,1,2,3,4,4,3,3,1,5,3,1
rwhitesel781,Rodrick,Whitesel,NJ,4,2,1,5,3,1,5,1,1,5,4,3
jlarman945,Jaime,Larman,OH,2,3,1,2,5,4,2,3,1,5,1,5
saudi703,Stephane,Audi,MS,3,1,1,1,4,2,3,1,3,3,2,2
glindon846,Garret,Lindon,NE,1,1,2,1,5,3,2,4,1,3,1,3
coneale253,Chung,Oneale,MS,4,2,1,3,2,1,1,4,1,2,3,2
awilkin737,Audry,Wilkin,GA,4,1,2,1,2,1,3,3,4,3,1,3
rbilotti863,Roosevelt,Bilotti,WI,4,4,2,4,2,5,1,5,2,3,1,1
gbembury770,Gonzalo,Bembury,NE,2,5,2,1,2,3,3,5,3,4,2,1
swoelfle441,Sterling,Woelfle,NY,3,4,2,3,2,2,2,3,5,1,2,3
tgularte319,Tatiana,Gularte,HI,3,5,3,3,1,5,1,5,2,2,4,1
klapping518,Kareem,Lapping,CA,1,2,2,2,1,2,3,5,1,5,4,3
shera883,Santo,Hera,CA,5,1,1,2,4,2,5,3,1,1,3,4
kmarak440,Kaye,Marak,AK,3,4,2,5,3,1,2,5,3,2,1,2
hwurl872,Hiram,Wurl,RI,5,2,3,1,3,3,1,2,3,2,2,2
slaipple467,Sharyn,Laipple,VA,5,2,4,1,1,4,5,5,2,1,1,4
cpele311,Cornelia,Pele,AL,1,2,1,2,5,5,5,5,3,2,1,2
hcana788,Hedwig,Cana,ID,5,4,2,5,4,2,1,3,5,5,3,1
bklosner292,Boyd,Klosner,AR,4,4,2,5,4,4,3,5,1,5,3,5
clawes201,Celsa,Lawes,MS,3,2,5,1,3,1,2,1,1,5,2,3
chaza879,Colby,Haza,CT,5,5,5,5,3,5,5,4,4,5,4,3
aeberth334,Anastacia,Eberth,UT,4,3,5,3,5,4,5,2,4,3,3,2
rriccardo232,Robin,Riccardo,CO,1,4,2,2,3,5,3,1,5,3,1,4
vspates29,Vance,Spates,OK,3,3,1,4,4,4,1,1,1,5,3,5
mebadi396,Mafalda,Ebadi,MN,4,5,3,2,1,1,4,2,2,2,1,3
fzahler793,Felicita,Zahler,NM,5,1,4,2,4,3,4,1,1,5,3,5
cpiantanid12,Chi,Piantanida,SD,2,5,5,5,1,5,4,3,1,3,4,1
cword189,Coy,Word,NE,5,4,4,4,4,5,2,3,5,3,3,1
lamsden276,Lorrie,Amsden,ND,4,4,3,5,5,4,1,2,5,4,2,5
gsissac704,Gino,Sissac,PA,4,4,4,1,5,1,4,2,2,3,4,2
amurrieta389,Andrea,Murrieta,LA,3,5,4,4,5,3,2,1,5,3,4,4
mharrower365,Major,Harrower,KY,2,5,5,1,3,5,3,2,4,3,2,3
jkekiwi515,Johnson,Kekiwi,NH,3,5,5,2,5,4,3,3,4,2,2,1
jhenscheid807,Jean,Henscheid,CO,3,4,3,4,2,4,3,2,3,3,3,3
tkarsnak661,Titus,Karsnak,PA,3,5,5,4,4,5,1,1,3,1,1,5
awoolford523,Alberto,Woolford,CT,1,2,5,5,4,1,3,5,2,2,4,3
ibourget306,Isaiah,Bourget,RI,2,3,1,4,4,3,5,5,3,2,5,1
oharbach188,Orval,Harbach,NH,4,3,4,3,5,5,5,3,4,4,1,2
tspanger490,Toni,Spanger,VA,2,4,3,2,3,4,2,2,5,5,3,3
jcoram868,Joanie,Coram,WV,1,3,1,2,1,4,2,1,1,3,2,1
dshiel677,Don,Shiel,MS,2,4,4,4,2,3,1,2,2,2,2,2
cardoin21,Catherin,Ardoin,CA,2,3,5,3,4,3,1,4,1,3,1,1
gpannhoff790,Gabriel,Pannhoff,PA,5,1,4,3,1,5,1,3,2,1,1,4
mdunkleber609,Marisa,Dunkleberger,OK,4,2,4,5,5,1,5,3,3,5,3,5
rking825,Rana,King,SC,2,5,2,5,3,5,2,5,2,5,3,3
cdenike858,Carol,Denike,NH,3,4,1,3,4,3,4,4,4,3,5,4
jbrackley657,Jerilyn,Brackley,MA,1,3,1,1,1,5,5,5,2,2,3,5
dwell905,Devin,Well,ND,2,1,5,2,2,4,1,4,3,5,4,4
hcowing529,Hosea,Cowing,VA,4,5,2,4,1,4,1,2,2,3,2,1
mwestveer297,Myrna,Westveer,AK,3,3,5,2,4,2,3,2,5,1,1,4
