id,nameFirst,nameLast,origin,likert.valuesFriendship,likert.valuesFamily,likert.valuesCommunity,likert.valuesSelf,likert.valuesFaith,likert.valuesEducation,likert.valuesHealth,likert.valuesStrength,semDiff.dogCat,semDiff.donutMunchkins,semDiff.cakePie,semDiff.steelersPirates
sheadly703,Sol,Headly,ND,1,2,4,3,2,2,2,5,1,2,4,3
csedler268,Charlyn,Sedler,HI,4,5,3,5,3,1,2,1,5,5,1,1
lsprouffsk631,Loan,Sprouffske,MO,3,5,2,2,3,5,4,2,4,1,3,3
jnealer639,John,Nealer,CT,5,4,1,5,1,3,4,3,4,1,5,4
jihrke331,Johna,Ihrke,AL,4,3,1,2,2,1,5,2,5,3,3,1
nconran284,Nick,Conran,KY,4,5,2,2,5,2,2,5,1,4,4,5
bgrunlien283,Bert,Grunlien,NH,2,3,4,2,3,3,1,3,1,3,3,4
zlaroia431,Zena,Laroia,ND,2,2,5,3,1,1,3,3,4,4,1,5
decker614,Darrel,Ecker,RI,4,1,1,2,5,5,2,4,4,1,2,2
jlaack930,Jeanine,Laack,MS,5,2,1,5,2,4,5,1,2,4,1,4
dgerking106,Drucilla,Gerking,NY,3,4,5,2,1,2,5,3,2,2,3,5
chochschil169,Chet,Hochschild,WA,2,5,2,4,3,1,1,5,3,3,2,1
dherandez111,Deloise,Herandez,WA,4,5,4,4,1,2,3,5,3,2,4,1
averhulst249,Andres,Verhulst,WY,4,4,2,1,5,5,1,1,4,2,4,4
pnogueras96,Philip,Nogueras,KS,3,4,4,1,5,5,2,2,2,2,1,5
jaronow442,Jame,Aronow,SD,4,1,4,1,2,2,4,5,3,1,1,1
ccushen502,Cherry,Cushen,MA,5,4,2,2,1,3,3,2,3,1,3,3
sdeniz640,Sol,Deniz,NV,4,2,1,3,3,5,3,5,2,1,2,2
cbrader705,Cristi,Brader,OH,5,5,1,2,1,5,5,2,5,4,1,5
lbabineaux553,Le,Babineaux,ME,1,2,5,5,2,3,1,3,2,3,2,4
lwrigley118,Lane,Wrigley,ND,1,2,1,4,1,5,4,3,2,5,4,1
lkleidon14,Lena,Kleidon,WV,2,5,1,3,3,2,4,2,2,3,3,3
jdadlani430,Janis,Dadlani,IL,3,5,1,5,4,4,1,2,1,3,3,4
srigotti442,Shonna,Rigotti,AZ,2,2,1,4,3,5,5,5,2,4,2,5
avienneau858,Alisia,Vienneau,MO,1,5,3,1,5,4,2,2,4,4,5,2
aferentz993,Arnold,Ferentz,IA,5,3,3,5,1,3,4,4,1,5,3,1
dmccree600,Delores,Mccree,ID,3,1,3,2,2,3,4,5,4,2,3,1
bkoepke699,Buster,Koepke,OR,2,3,3,2,3,2,3,5,2,1,2,3
pprosenick387,Philip,Prosenick,TN,3,1,3,3,3,3,3,5,2,2,1,2
jbreihan524,Jame,Breihan,UT,4,1,3,1,3,4,1,2,1,2,2,4
dvavricka349,Digna,Vavricka,MS,5,2,5,5,2,4,3,3,2,5,3,1
cmancino854,Carmen,Mancino,NH,1,1,2,5,5,3,1,5,1,4,4,3
mmcginnis646,Mohammad,Mcginnis,IL,1,2,4,2,4,3,1,2,4,3,4,2
fbingamon46,Foster,Bingamon,SD,2,1,2,2,5,5,4,2,1,2,1,3
vgapen779,Vivian,Gapen,ID,1,2,1,2,3,4,1,1,3,4,4,5
dcatalan73,Denver,Catalan,KS,3,1,1,3,2,5,3,3,4,5,5,4
ekluemper725,Erik,Kluemper,ND,2,5,5,5,4,4,3,2,4,4,2,4
jnorby154,Jerome,Norby,AR,1,2,1,1,2,1,4,1,4,2,2,5
ldacey790,Lorilee,Dacey,FL,1,5,3,1,4,4,2,4,5,4,2,3
chrcka182,Cole,Hrcka,KY,4,5,2,4,3,3,2,4,5,2,3,4
egiannell498,Emerson,Giannell,MD,2,3,5,3,4,1,2,5,5,3,1,1
mlua529,Monet,Lua,IL,3,3,1,3,3,2,4,1,4,3,5,3
mriecke655,Marylynn,Riecke,ME,3,3,5,1,4,3,3,5,2,3,3,1
csentz776,Calista,Sentz,LA,5,1,1,2,2,1,5,2,1,1,2,2
nhoefel371,Natividad,Hoefel,AZ,5,2,3,1,3,5,5,5,1,5,2,5
fraziano186,Franklyn,Raziano,NE,5,4,4,4,4,5,5,2,3,2,5,5
jmandt520,Joe,Mandt,MI,5,1,4,4,1,4,4,3,1,4,5,2
rboldwyn799,Roger,Boldwyn,IL,4,3,1,3,1,2,5,4,5,3,1,3
ewindsheim593,Estela,Windsheimer,TN,2,3,5,1,2,4,1,2,1,4,1,2
